block_number,owner,tickLower,tickUpper,amount,amount0,amount1,timestamps
27323982,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-7140,77451442020698605537113,720572837852889957360,295891990162484322808,1650372486
27324025,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-7140,11643765974631504220547,87639934085308116310,54496110369086356472,1650372572
27324052,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7380,-7140,2714688718288357597167,20732432069704351769,12560341003777739751,1650372630
27328346,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7320,-7200,977040140456413666364,4273660884745623696,2003611699934474432,1650381963
27328369,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7320,-7200,441920555335466617073195,1933000000000000000000,906244440170143773020,1650382009
27328411,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7320,-7200,3467808659540402767690,15168504967602313729,7111419189127161725,1650382097
27333711,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7320,-7140,161261021720174668262702,615000000000000000000,710662086528229195380,1650393868
27333726,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7320,-7140,134456542938117281035915,482783224927222457317,607148883323408969923,1650393928
27333742,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7320,-7140,2099653400420240414186,7539071120925893706,9481146767383916619,1650393992
27335069,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7560,-6960,15713088738813354400,200000000000000000,229065840824229866,1650396894
27335100,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7560,-6960,68933854543352817929419,506000000000000000000,1187504595476221068830,1650396956
27335141,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-7560,-6960,20162471289360112754061,148000000000000000000,347333359941661498393,1650397042
27370591,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-8820,-5700,1709452487540116514115,162313932885509890300,100000000000000000000,1650477288
27402220,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-9540,-5280,11553504520626357656,1316889653847368221,987952371808521126,1650545864
27463882,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-17940,6960,16291268171862176163205,11290394967786896824534,5000000000000000000000,1650678166
27465259,0xC36442b4a4522E871399CD717aBDD847Ab11FE88,-13680,180,120892903375262594832,49103977863101790076,25520000000000000000,1650681594
